,0
10,"Осталось совсем чуть-чуть до Нового года! Помню, что мой лучший Новый год я провел в Праге, мы с друзьями спонтанно купили билеты, пели и плясали на главной площади города, заедали все вкуснейшими сосисками и запивали горячим глинтвейном. 
 
Дружище, если ты все еще не знаешь, с кем встретить этот Новый год, то скорее запускай крутую приложуху, которая поможет тебе найти вписку на этот НГ - https://vk.com/app7233807 
 
П.С.: а еще Авиасейлс разыгрывает сто билетов!"
11,"Ставь ❤, чтоб сбылось!

#Веселушки@pn6"
12,#Милости@pn6
13,"Сегодня сын принес со школы по математике плохую оценку - двойку за не сделанную домашку, опять… Ну, как обычно, разговариваю с ним, мол так и так, домашку надо делать, все дела. И тут он на меня наезжает: ""Почему, когда я приношу хорошие оценки - то ты говоришь, что я молодец, и что это я делаю для себя в первую очередь, а как только какая-то плохая оценка - то ты меня наказываешь? Может я и плохую оценку для себя зарабатываю?!"". И знаете, малец ввел меня в ступор!😅Как думаете, как вообще надо на это реагировать?))
❤3к лайков - только хорошие оценки - для себя, остальное - для других!
❤4к и больше лайков - о боже, да ведь малец прав! я всю жизнь прожил(а) неправильно!😱🤣

#Дети@pn6"
14,#Работа@pn6
15,"Моя кошка обожает тусить со мной, когда я принимаю ванну. Просто процесс принятия ванны у меня всегда занимает не меньше часа, и моя кошка сначала усердно шкребётся в дверь, пока я ей не открою, заходит, и лежит вместе с мной, контролирует) В один момент я просто перестала закрывать дверь в ванную, когда купаюсь, чтоб кошка могла свободно заходить и выходить. Она прожила со мной 10 лет. Умерла 1,5 месяца назад. И все эти 1,5 месяца я на автомате каждый раз, когда иду купаться, оставляю дверь открытой… Знаю, что с этим справиться поможет только время. Но, с*ка, как же долго это время идет…😔

#Зверопост@pn6"
16,"Таааак, ну и кто же задолжал тебе обнимашки?😑😊

#Веселушки@pn6"
17,"Сижу у себя в комнате, читаю, и вдруг слышу, шум какой-то доносится из кухни… Решила пойти проверить. Подхожу, на кухне основной свет не включен, но в комнате периодически то светлеет, то темнеет… Заглядываю - а это малый открывает и закрывает дверь холодильника и смотрит, как в нем лампочка тухнет… Эхх, такая ностальгия по детству сразу пробила, я ж тоже так делала!)) Лайк, если в детстве тоже всякую фигню делали😅

#Детство@pn6"
18,#Судьба@pn6
19,"Сижу на паре, сосед пишет список дел… Пара была настолько скучная, что я решил мокнуться в чужую жизнь, и подглядеть, чем же люди занимаются в жизни. Список дел, значит: посчитать, сколько голубей пролетает мимо за 14 минут 14 секунд; научиться хрустеть коленками мелодию из Шрека; стоять под душем и не начинать мыться, пока кто-нибудь не крикнет ""Ну ты скоро там""; поесть... Интересно, это все люди так списки дел пишут, или мне просто безумец попался? Я ж теперь не усну, пока не узнаю😄

#Универ@pn6"
20,"У моей девушки появилась навязчивая идея - научиться рисовать на пенке в капучино. Начать решила с легкого - с сердечек. И вот каждое утро у меня теперь начинается с… Жоп!) Иногда еще с членов!)) Предложил не переучиваться и открыть свою кофейню, где она будет делать людям бодрящий кофе с утра с жопками!) По моему, идейка ничего так😅А вы что скажете?))
❤2к лайков - надо научиться делать сердечки!
❤3к и больше лайков - жопы - наше всё! пусть продолжает!🤣

#Успех@pn6"
21,"Наш кот обожал слушать, как папа играет на пианино, всегда приходил, ложился рядышком и внимательно слушал, пока папа не закончит. Иногда даже он приходил к пианино и ""звал"" папу. На днях папы не стало… А сегодня Никс (кот) сел у пианино, и начал его снова ""звать""… Нет, Никс, папа уже не придет…😔

#Печаль@pn6"
22,
23,"Моя девушка подходит ко мне сегодня и говорит, мол, фокусу научилась одному, но для него нужно хотя бы 200 рублей! Взял деньги, говорю: ""Ну, показывай"". Она говорит: ""Вот, это чудо-мешок! Кладешь туда деньги, и они чудом исчезают! Клади!"". Я засовываю в мешок деньги, девушка говорит: ""А теперь закрой глаза и досчитай до трех"". Закрываю, считаю, открываю, а эта дурында убежала с моими деньгами и мешком… Ну, и вправду, чудом исчезли🤷‍♂😅

#Экспонат@pn6"
24,"Брат попросил мой ноут, потому что свой сдал в ремонт. Но на следующий день я обнаружила, что брал не вышел из своих социальных сетей. Я и не искала, я просто открыла ноут, и мне начало приходить куча уведомлений типа ""Где ты пропал?"", ""Почему не отвечаешь?"" и пр. Каюсь, любопытство меня одолело, и я открыла диалог. В последнем диалоге девушка спросила: ""А почему ты пишешь именно мне?"". Он ответил: ""Потому что ты не такая, как все, ты особенная."", ну и девушка там растеклась, понятное дело. Но, прикол не в этом, ребят. 13! Он 13ти девушкам написал то же самое! Что ""ты особенная""! И девушки ведутся, думая, что она ""единственная"". Из женской солидарности я не могла это просто так оставить. заскринила диалоги, и попересылала девушкам в лички. Ох, брату до сих пор достаётся от этих девиц! И мне его ни капли не жалко, ибо нех! Ну, а мне периодически благодарочки от девушек прилетают😅

#Мужики@pn6"
25,"Моя знакомая считает, что просроченные продукты полезны для здоровья, потому что очищают кишечник. Однажды спорили на эту тему, выяснилось, что она считает просроченным ВСЁ, что продается в магазине, потому что каждый день мы видим на полках примерно одно и то же. Я пыталась объяснить ей: люди берут товар с полок и несут на кассу, полки пустеют, продавцы выкладывают на них новые продукты, которые привозятся несколько раз в неделю. Тетка 70-ти лет мне не поверила, потому что ""сколько ни заходишь в магазин, а сметана всегда на одном и том же месте стоит"". Ну что же, видимо, свежие продукты были для нее только в эпоху советского дефицита.

#Экспонат@pn6"
26,"✨ 💦 Сидишь и грустишь, пока остальные влюбляются и обнимаются? Бесят эти довольные и счастливые неодинокие лица? Хватит злиться, пора присоединиться! Многие палатовцы нашли свою любовь, участвуя в флешмобах, пришел и твой черед!💘 
 
🎯 Что делать? 
 
1) Проголосовать за свой возраст 📝 
2) Выбрать как можно больше людей и начать диалог с фразы: ""Не бойся любить! Покажем этому миру, что такое настоящие…"" 
3) Оригинально закончить ту самую фразу 😃 
4) Весело и мило общаться, найти человека, с которым будет хорошо встречать каждый день! 
5) Присылать крутые скрины и веселые переписки, ведь самые крутые обязательно попадут на стену 👍🏻 
 
❤ Не бойтесь жить, не бойтесь любить, все в ваших руках! Ну а если в твоей жизни уже есть любовь, ты можешь поделиться советом по поводу хорошего подарка или крутого свидания! Любите друг друга, Палата с вами! ❤"
27,"До защиты диплома две недели, нервничаю ужасно. Сидела вечером, лопала пупырчатую плёнку от заказа, чтобы успокоиться. Муж долго косился, но ничего не сказал. Через пару дней этот чудик притащил мне целый рулон пупырчатки! На, мол, любимая, развейся. Ох, и правильно я мужика выбрала.

#Счастье@pn6"
28,#Экспонат@pn6
29,"В детстве старший брат рассказал, что каждый человек должен уметь молиться, потому что это очень поможет в жизни. Он же рассказал мне молитву, которую я выучил и однажды прочитал за столом, где собралась вся родня. Откуда мне было знать, что частушки Сектора Газа это никакая не молитва( 

3к ❤ - Битлз популярней, чем Иисус.
5к ❤ - Юра Хой популярней, чем Иисус. 

#Детство@pn6"
30,"Квартира с чистовой отделкой в ЖК «Фортеция» с первым взносом 300 000 руб! 

📍 Жизнь на побережье
📍 Прекрасные виды
📍 Дворы свободные от машин

Жилой комплекс строится в тихом и живописном районе Кронштадта, вдоль восточного мыса острова Котлин. Напротив дома – городской пляж, стадион и спортивные площадки. Неподалеку расположились школа и детский сад.

Ездить за продуктами и услугами также не придется. Вся необходимая инфраструктура будет располагаться на первых этажах «Фортеции»: предусмотрены помещения для фитнес-клуба, СПА-центра, магазинов, кафе.

Узнайте подробности ⛵: www.spbrealty.ru/buildings/fortetsiya-zhizn-na-poberezhe?utm_source=vk.com&utm_medium=post&utm_content=fortetsiya_december&utm_campaign=pn6"
31,"Мой дедушка в молодости занимался глупостями, бывал в тюрьме. В 1961 году, когда стало известно, что первым человеком в космосе стал человек с фамилией Гагарин, дедушка раз и навсегда изменился. Устроился на металлургическое производство, женился на школьной учительнице, завёл детей. А всё потому, что он тоже Гагарин, и ему было стыдно позорить такую фамилию. 

#Семья@pn6"
32,#Мама@pn6
33,"Снимаю комнату у бабули, которой на днях исполнилось 65. На дне рождения была я, именинница и трое парней от двадцати до тридцати лет. Всех этих парней я уже видела раньше. Они по очереди приходят к ней по будням для определенных целей...Когда такое случается, я надеваю наушники, чтобы не слышать этого. Очень-очень неловко...

#Старички@pn6"
34,"В детстве попал под машину, сбили на пешеходном переходе по пути в школу. Лежал, истекая кровью и в бреду просил подбежавших прохожих снять с меня олимпийку, чтобы она не испачкалась кровью. Спортивный костюм пришлось выкинуть, и это волновало меня куда серьезнее, чем перелом двух рёбер, кисти и ноги. Моя бабушка экономила на себе, чтобы подарить мне тот костюм :(

#Детство@pn6"
35,#Сны@pn6
36,"Пару лет назад оказался в максимально дебильной ситуации: не хватало четырёх рублей на маршрутку. Пешком идти не вариант, прохожие игнорируют. Обратился к бездомному, который проходил мимо. Он вытащил из кармана всё, что у него было - рублей 20-30 - и дал мне пять рублей. Потом я много раз ходил в том районе, чтобы найти того бездомного, вернуть долг и накинуть сверху тысячекратно, но я так его и не нашёл:(

#Добро@pn6"
37,"Когда училась в универе, у нас был один очень противный препод, из-за которого выгнали хорошего парня. Он часто не соглашался с преподом, причём аргументированно, но старику было абсолютно по*уй. На экзамен мы всем потоком пришли в футболках с изображением выгнанного студента. Ситуацию это не изменило, но препод задумался. 

#Универ@pn6"
38,"Когда только начала работать парикмахером, мне давали в основном пожилых мужчин, которым нет никакого дела до своих причёсок. Первому же человеку, севшему в кресло, я отрезала кусочек уха. Крови было, как аорты...Дедок возмущался, грозился подать в суд, а потом успокоился и попросил порезать и другое ухо, чтоб было ровно. Отрезала. 

#Работа@pn6"
39,"Муж закатил истерику, найдя мой блокнот, где я пишу о некоем Денисе Сергеевиче, с которым у меня был самый жаркий секс. Дошло до того, что он собрал вещи и ушёл на всю ночь бухать и плакаться другу. Не думала, что моё хобби вскроется с таким грохотом. Моё хобби - не изменять. Я всего лишь пишу эротические романы, но почему-то стыдно в этом признаваться. 

#Хобби@pn6"
40,"Знакомые, когда рассуждают об идеальном браке, вспоминают нас с мужем. Мы вместе вот уже тринадцатый год, двое детей, совместный бизнес, часто летаем отдыхать в разные страны. Никто не знает, что вместе мы только из-за детей. У него другая женщина, у меня другой мужчина, спим вместе, но не прикасаемся друг к другу. Когда летаем в отпуск, селимся в разных гостиницах, встречаемся с другими людьми. 

#Отношения@pn6"
41,"Беременна, со дня на день рожать. Недавно муж говорит, что не хочет присутствовать у меня на родах. При этом он - единственный врач-акушер на больницу, где я лежу. Ну не дебил ли?

#Мужики@pn6"
42,"Когда-то давно очень сильно любила одного малоизвестного музыканта. Ходила на его концерты, следил за его жизнью, охала и ахала, какой он, тайком мечтая, что вот когда-нибудь... В какой-то из моментов пьяненькая с подружками пошла на концерт. Парень тогда изменил, грустно, попа хочет приключений, ну и я набилась на афтерпати после концерта. Заканчивался вечер уже в постели того музыканта. На следующее утро было дико стыдно, чувствовала себя глупой фанаткой и в итоге утром сбежала, не оставив контактов. Прошло 2 или 3 месяца, работаю в одной из студии видео-продакшн, параллельно учусь и тут нам дали задание - снять документалку по творческим личностям. Я была на правах только исполнителя ряда вещей и вот как-то приходим на съемку, а там как раз та группа. Стыдливо старалась избегать солиста дня 3, думала может не узнает, а он в какой-то момент банально встретил меня у дома с букетом и предложением пойти на свидание. Сейчас уже вместе 4 года, недавно поженились и муж говорит, что если бы я тогда не сбежала, то не стал бы ничего серьезного заводить, мол с фанаткой иметь такое дело не вариант. А тут я. Надеюсь, что судьба)

Хотели бы так случайно встретить судьбу? 
3к ❤ - возможно встретите
5к ❤ - точно встретите
7к ❤ - ваша судьба буквально стучится в окно

#Судьба@pn6"
43,"Прямо сегодня и прямо сейчас именно ТЫ найдешь себе друга, собеседника, а может и даже вторую половинку 😵💥 
 
📍Готов хорошо провести вечер? Тогда срочно выполняй наши требования: 
 
1. Жмякай на свой возраст в опросе. 
2. Рандомно выбирай 20 человек. 
3. Пиши им и начинай игру ""Было или не было..."" 
4. Наслаждайся и присылай самый весёлые скрины к нам в предложку. 
 
Пример: ""Срочно! Был ли у тебя случай, когда ты целовался с хомяком?"" 🌝 
 
Прояви креатив, дружелюбность и тогда ты точно найдешь самых ценных людей. Чмок! 💋"
44,"Аватарка П6 - каждый раз расстройства. Админы, может хватит?!
______
Ой, да ладно вам)

#Отзыв@pn6"
45,"У подруги сыну 6 лет. Сидим в гостинной, разговариваем, там же ребенок лежит рядом с собакой и рассматривает картинки в книжке. В какой-то момент подруга ушла на кухню, а мелкий же берет конфету, открывает и тут ее забирает собака. А пес большой такой, лохматый какой-то. Мелкий сначала чуть ли не в слезы, а потом берет за уши пса, открывает пасть, достает конфету и голосом победителя говорит: ""Еще раз и следующим будет твой корм"" и уходит в другую детскую. Пес же только заскулил и пошел за ним. Видимо, извиняться.

#Дети@pn6"
46,"Каждый раз, когда я сильно напиваюсь - творю непонятно что, что потом дико стыдно, но всегда хотя бы по отношению к людям, которые сделали гадость. Так начальнику-козлу я когда-то в офис запустил козла и несколько голубей, бывшей девушке под дверями оставил бревно с запиской, что это ее точная копия, соседу-мудаку обмазал дверь медом и птичьими перьями... но вот позавчера я купил своей девушке 32 букета. Хоть что-то новенькое...

#Смурфы@pn6"
47,"Вчера вечером ходила в магазин. Хожу с тележкой, никого не трогаю, но тут ко мне подходит мужик. Бородатый такой, высокий, суровый. Типичный байкер в кожанке. Подходит и говорит: ""Девушка, а что маленькие коты жрут? Не пугайтесь, увидел у вас корм для котов и спросил, очень надо"". Я немного опешила, но быстро сообразила, быстро спросила о возрасте, насколько маленькие, так он взял, растегнул куртку и показал двух маленьких грязных двух котят. Говорит какие-то убл*дки оставили их в шапке на помойке и он не смог пройти мимо, забрал. Дала пару советов, номер хорошей ветклиники и мужик, поблагодарив, ушел. Уверена, у этих ребят будет все супер)

#Милости@pn6"
48,"Сыну 8 лет, недавно писал письмо Деду Морозу. В числе списка игрушек увидела, что он написал ""набор конфет для папы, а то опять все съест, а мне останутся ириски"" и поняла, что доверяет он больше мне. Конфеты-то все я сожрала, у мужа диабет...

#Семья@pn6"
49,#Веселушки@pn6
50,"Жизовее ситуации, чем на аве давно не видел. Арк, как я тебя понимаю...

 #Отзыв@pn6"
51,"Мой кумир - моя бабушка. Эта женщина одна воспитала 7-х детей, после смерти деда (тогда 7-му ребенку было буквально 2 года) подняла их, подарила образование, жилье, любовь, огромный уровень внимания и теперь не меньше любит своих внуков. По рассказам мамы бабушка, бывало, не спала почти сутками, чтобы помочь кому-то с уроками, сшить костюм на утренник или сделать торт на день рождения одного из детей. При всём этом она так никого и не полюбила после смерти дедушки, говоря, что ее сердце навсегда отдано ее Жорке. При этом она до сих пор бодрая, милая и очень улыбчивая. И до сих пор она говорит, что счастлива, ведь сама жизнь - это и есть счастье. Удивительно. Люблю и горжусь.

#Гордость@pn6"
52,"У мамы вот-вот день рождения, но так получилось, что ровно за день до него я должен был уехать. И вот, все подготовил, прекрасно, попросил отца поздравить от меня маму в ее др, но вот беда - забыл открытку, а мама их дико любит. Нашел у себя в шкафах где-то старую, посмотрел, пустая, отдал отцу, попросил подписать и бегом побежал на такси и самолет. И вот, следующий день, мне пришло СМС от отца ""Ты мне должен"" Я в непонятках, а он присылает фото открытки, а там внутри еле заметными чернилами написано: ""С ДР, куриная жопа. Купи себе на эти бабки нормальные духи и надеюсь после этого тебе хоть кто-то даст"". И тут я вспоминаю, что открытку-то мне эту подарила лучшая подруга, когда мне было 18 лет. Ну... реально теперь должен отцу)

#Фейл@pn6"
53,"Ребята, я вчера РОДИЛА! Родила, сама! Хотя ещё год назад врачи который раз твердили, что я бесплодна. Шесть лет мучений, слез, боли. Но я смогла! И теперь у меня есть доченька. Спасибо, жизнь!

#Счастье@pn6"
54,"Я - учитель математики. Не так давно в нашем городе в каком-то случайном кафе увидел объявление о том, что все нуждающиеся бездомные могут зайти с черного входа и попросить пищи совершенно бесплатно. Я улыбнулась этому и пошла с приятным чувством трапезничать в кафе. Там среди официантов встретила одного из своих бывших учеников, которого, честно говоря, недолюбливала. Вечный раздолбай, который то спал на уроках, то прогуливал, то разговаривал с кем-то... в аттестате одни тройки, мой предмет не понимал, да и не хотел понимать. Смотрела на него с неким презрением, думая что да, в школе не старался и за 8 лет после выпуска дослужился только до официанта и это все несмотря на то, что от его рук получила пирожное в качестве комплимента от заведения и вежливое приветствие. Но... Подумала, а потом забыла. Буквально в тот же день возвращаюсь туда же уже под закрытие, т.к. забыла там сумку со школьными тетрадями. Прихожу, меня встречает девочка-официантка, говорит, что да, владелец у себя оставил, могу подождать в зале. Смотрю, а там мой ученик полы моет, но через секунду подходит та девчонка и по имени отчеству обращается к нему. Мой разгильдяй вновь поприветствовал меня, отдал сумку, еще и до дома довез... Оказывается, реально владелец кафе и еще нескольких заведений в городе, а сейчас банально подменял двух сотрудников на больничном, ""Помогал своим ребятам"" и что реально периодично кормит бездомных в кафе, нескольких устроил на работу... И удивительно, такой хороший мальчик. А я мысленно буквально грязью поливал его. Стыдно.

#Добро@pn6"
55,"Вот мне интересно, у всех есть фотография младенца-себя, где батя держит на руках на фоне ковра на стене?) Лайк, у кого так)
___________________
Хмм... Реально интересно. 

#Жиза@pn6"
56,"Единственная хорошая новость за сегодня: к нам зачастил ходить енот в последнее время, мы его подкармливаем, а сегодня он пришел с пузякой. Мне уже стоит ждать маленьких енотят? Или он просто потолстел? Кто-то вообще знает, как ухаживать за енотятами? А принимать роды у енотов? Так много вопросов и так мало ответов(

#Зверопост@pn6 и #Мысли@pn6"
57,"Пол года назад приснилось, что я застала жениха за изменой с лучшей подругой на какой-то тусовке и через неделю после этого мы расстались, ибо он с корпоратива пришел домой в семь утра, ничего не рассказав и не предупредив меня и такое уже не в первый раз, не хотел идти домой. Позже оказалось, что на этом корпоративе он катал к какой-то девчонке с работы. И после расставания я какое-то время жила у лучшей подруги, которая была в этом сне. Ох уж эти странные сны.

#Сны@pn6"
58,"Сижу в кафе-пекарне, жду людей на деловую встречу. Заходит женщина лет 60-ти с мальчишкой лет 6-7. Садятся рядом со мной и я ненароком слышу их диалог: ""Димочка, портфель тяжелый?""... ""Нет"" - отвечает Димочка. А в школе тебе учиться тяжело? И тут, с налитыми печалью и горечью глазами, Димочка отвечает: ""Бабуль, с твоей дочкой жить тяжелей, чем портфель, чем правописание и хотьба в школу"".

#Дети@pn6"
59,"Вечером выхожу из магазина. Впереди меня идет мама, следом плетется ребенок , на вид лет трех, четырех. У мамы на плече сумка, обе руки заняты пакетами. Ребенок не переставая, канючит: ""Мам, дай ручку. Д-а-а-ай ручку-у-у.."" Мама молча ставит пакеты, достает из сумки шариковую ручку и подает ему. Детеныш ошарашенно ее рассматривает, говорит: ""Я же не такую хочу. Мне с костями надо"". И растопыривает пятерню. Однако хныкать перестает. Мамин прием сработал.

#Лайфхак@pn6"
60,"В общем, моя девушка решилась вести блог! Запись первого видео она доверила своему парню - то есть мне. Я держал телефон перед собой, как профессиональный мобильный оператор😏Я, как ""профессиональный оператор"" на самом деле снимал не её, а себя с фронтальной камеры и открывал рот под её голос)) Когда она подлетела и взвыла, мол, чё за фигня, ответил: ""Фигня - это идея снимать блог. Лучше делом реальным заняться, на работу устроиться, ну, или хотя бы за домом следить!"". А чтоб вы понимали, зарабатываю у нас только я, убираю дома только я, готовлю тоже в основном я, ну или она заказывает еду... В общем сидит в комнате, дуется на меня, а я думаю, правильно ли я сделал... Как думаете, Палатовцы, правильно?
❤2к лайков - не правильно! пусть делает что хочет!
❤3к лайков - правильно, в этой ситуации есть дела поважнее видосов!
❤4к лайков и больше - ты зачем вообще с ней встречаешься? бросай её! я свободна!😅
#Отношения@pn6"
61,"Вчера пришла ночью с работы, после душа закинула нижнее белье в стиральную машину. С парнем поужинали, убираю со стола, открываю шкаф, где мусорное ведро, и вижу в нем женские трусы🤨Уже начинаю возмущаться и тут понимаю, что не совсем в стиралку я трусики-то закинула...😅

#Фейл@pn6"
62,"Друзья – это особенные люди. С ними мы можем быть откровенны. На них мы всегда можем положиться, но что делать, если тебе никак не удается заводить новые знакомства в режиме виртуального времени? Ответ один – нужно заходить в наш альбом ""Без границ"" и находить там новых друзей, причем из твоего родного города😉

Для этого следуй простой инструкции:

✏Находи фотографию своего города в альбоме.
✏В комментариях общайся со своими земляками-палатовцами, и договаривайся с ними о встрече :)

ПОЕХАЛИ!"
63,Близкие всегда рядом. И всегда оберегают))
64,"Приехали мы к бабушке со своими детьми, они побежали играть, мы своими делами занимались. Через какое-то время я пошла проверить детей, а они обклеивают маленькую дверь табличками, которые они сами нарисовали, типа ""Опасность!"", ""Не входить!"", перевязывают лентами всякими, которые нашли где-то у бабушки в комоде… Спрашиваю, мол, что это?) И мне сын тревожно отвечает: ""Мы обнаружили здесь портал! Оттуда веет холодом и страхом! Мы не хотим, чтоб кто-то пострадал!"". Говорю: ""И какие же меры предосторожности вы приняли?"". Сын отвечает: ""Мы сделали таблички с предупреждениями, повесили ленту для привлечения внимания, и еще нашли у бабушки клей…"" Хе-хе, дети... Так, стоп! Что? Клей?! Короче говоря, детишки чудом нашли и заклеили строительным суперклеем бабушке дверь в подвал, чтоб от туда не веяло ""холодом и страхом""...🤦‍♀

#Дети@pn6"
65,#Веселушки@pn6
66,"В начале этого года, к нам в класс пришел новенький. Парень из малообеспеченной многодетной семьи. Но сам по себе вполне милый, умный, и до жути стеснительный. Так как у него есть еще два старших брата, он всё время донашивает за ними одежду, ну а вы сами понимаете, как выглядят вещи, которые до тебя носили уже двое… Сегодня у Димы день рождения, и мы с классом просто не могли оставить его без подарков! Мы собрали целую коробку с подарками, (нас в классе всё-таки не 3 человека, а 26😏), в коробку мы положили и новых тёплых вещей, и вкусняшки всякие, и кто-то даже ночник купил в виде луны! Когда Дима распаковывал подарок, он просто рыдал от счастья и всё время повторят: ""Ребятааа! Спасибоо! Спасибооо, ребятаа!"", ну и мы все тоже не могли удержать слёз от такого трогательного момента) Творите добро, друзья😌Ну и поставьте лайк, поздравив Димку с днём рождения🥳

#Добро@pn6"
67,"Учусь в меде, и сегодня было решено навести ""новогодний марафет"" в кабинете и всё украсить! Всё бы ничего, но вместо ёлки мы наряжаем модели скелетов человека! Скелет Макс - у нас в костюме деда мороза теперь, а скелет Стэн сияет в новогодних гирляндах🤣

#Универ@pn6"
68,"В силу своего возраста, часто бываю в аптеке. Меня не удивляет, когда от давления просят таблетки ""такие маленькие, желтенькие..."", но один мужик отличился. Говорит: ""У вас есть ацетилсалициловая кислота?"", ему отвечают: ""Да. Вам сколько?"". И он: ""На 25 трёхлитровых банок огурцов""! Так и стояли, девочка фармацевт с округлившимися глазами, и я, лихорадочно в уме переводящая литры в миллиграммы🤦‍♀😅

#Экспонат@pn6"
69,"Прохожу сейчас практику в школе, сегодня иду по коридору, несу звонок (учитель, за которым я закреплен, попросил принести, нужен был для новогодней постановки), тут мне навстречу идет завуч. Говорит: ""А зачем тебе звонок?"". Говорю: ""Звонок для учителя"". Пара секунд молчания. Он: ))), я: )))... Ну наконец-то эта фраза хоть где-то звучит оправдано!😅

#Поговорили@pn6"
70,"А чем больше лайков набирает пост, тем больше вероятности исполнения предсказания😏
#Веселушки@pn6"
71,"Мне: надо готовиться к 1000 и 1 зачету, которые меня ждут на этой неделе. Я: сижу.

#Жиза@pn6"
72,"Пришла сегодня к подруге домой. Она как раз ящик перебирала, и достала свой школьный альбом. Решила его посмотреть, открываю, а там абсолютно все лица (кроме самой подруги) заклеены мордами всратых животных! От увиденного я на неё вопросительно посмотрела, и она говорит: ""Не, ну а чё, у нас в классе одни придурки были, там всё по делу заклеено!""🤣

#Детство@pn6"
